"Ürün Adı","Ürün Kodu","Fiyat","CAS Numarası","Marka"
"DMLIA NOVOBIOCIN SUPPLEMENT","4240029","65,54","","Sinanson Biolife"
"EGG YOLK EMULSION 20%","42111205","22,95","","Sinanson Biolife"
"EGG YOLK EMULSION 50%","42111601","15,30","","Sinanson Biolife"
"EGG YOLK EMULSION 50%","42111605","24,23","","Sinanson Biolife"
"EGG YOLK EMULSION 50%","42111600","40,80","","Sinanson Biolife"
"EGG YOLK POLIMYXIN EMULSION 50%","423810","28,05","","Sinanson Biolife"
"EGG YOLK POLIMYXIN EMULSION 50%","423820","45,90","","Sinanson Biolife"
"EGG YOLK TELLURITE EMULSION 20% (ISO 6888-1)","423700","15,30","","Sinanson Biolife"
"EGG YOLK TELLURITE EMULSION 20% (ISO 6888-1)","423701","24,23","","Sinanson Biolife"
"EGG YOLK TELLURITE EMULSION 20% (ISO 6888-1)","423702","40,80","","Sinanson Biolife"
"EGG YOLK TELLURITE EMULSION 50%","42111602","15,30","","Sinanson Biolife"
"EGG YOLK TELLURITE EMULSION 50%","42111604","24,23","","Sinanson Biolife"
"EGG YOLK TELLURITE EMULSION 50%","42111603","40,80","","Sinanson Biolife"
"EUGON LT SUPPLEMENT","421540","38,25","","Sinanson Biolife"
"FRASER SELECTIVE SUPPLEMENT","4240043","58,91","","Sinanson Biolife"
"FRASER HALF SELECTIVE SUPPLEMENT","4240044","57,63","","Sinanson Biolife"
"GARDNERELLA ANTIMICROBIC SUPPLEMENT","4240019","62,48","","Sinanson Biolife"
"GENTAMICIN ANTIMICROBIC SUPPLEMENT","4240004","76,25","","Sinanson Biolife"
"GLYCEROL","421015","20,15","","Sinanson Biolife"
"IODINE SOLUTION","421501","33,15","","Sinanson Biolife"
"KANAMYCIN POLYMYXIN B ANTIMICROBIC SUPPLEMENT (SFP)","4240005","59,42","","Sinanson Biolife"
"KANAMYCIN SELECTIVE SUPPLEMENT","4240055","60,44","","Sinanson Biolife"
"KARMALI ANTIMICROBIC SUPPLEMENT","4240035","103,28","","Sinanson Biolife"
"LEGIONELLA AB SELECTIVE SUPPLEMENT","423225","76,50","","Sinanson Biolife"
"LEGIONELLA BCYE -GROWTH SUPPLEMENT","423210","153,00","","Sinanson Biolife"
"LEGIONELLA BCYE a-GROWTH SUPPLEMENT w/o CYSTEINE","423212","116,03","","Sinanson Biolife"
"LEGIONELLA MWY SELECTIVE SUPPLEMENT ISO","423220","173,40","","Sinanson Biolife"
"LEGIONELLA GVPC SELECTIVE SUPPLEMENT","423215","38,25","","Sinanson Biolife"
"LISTERIA FRASER SUPPLEMENT (FE AMMONIUM CITRATE)","4240056","57,12","","Sinanson Biolife"
"LISTERIA FRASER SUPPLEMENT (FE AMMONIUM CITRATE)","42185056","30,60","","Sinanson Biolife"
"LISTERIA MOX-COL SUPPLEMENT","4240039","132,60","","Sinanson Biolife"
"LISTERIA OXFORD ANTIMICROBIC SUPPLEMENT","4240038","118,58","","Sinanson Biolife"
"LISTERIA PALCAM ANTIMICROBIC SUPPLEMENT","4240042","62,99","","Sinanson Biolife"
"LISTERIA UVM1 ANTIMICROBIC SUPPLEMENT","4240036","56,10","","Sinanson Biolife"
"LISTERIA UVM2 ANTIMICROBIC SUPPLEMENT","4240037","56,10","","Sinanson Biolife"
"NOVOBIOCIN ANTIMICROBIC SUPPLEMENT (10 mg/vial)","4240045","61,97","","Sinanson Biolife"
"NOVOBIOCIN MKTT SELECTIVE SUPPLEMENT (20 mg/vial)","4240047","72,68","","Sinanson Biolife"
"OXYTETRACYCLINE ANTIMICROBIC SUPPLEMENT","4240000","62,22","","Sinanson Biolife"
"PENICILLIN 500 IU SELECTIVE SUPPLEMENT","4240050","56,87","","Sinanson Biolife"
"POTASSIUM CHLORATE SUPPLEMENT","4240065","57,89","","Sinanson Biolife"
"POTASSIUM TELLURITE 1% SOLUTION","42211501","25,50","","Sinanson Biolife"
"POTASSIUM TELLURITE 3,5% SOLUTION","42211502","29,07","","Sinanson Biolife"
"PP PSEUDOMONAS SUPPLEMENT","4240048","60,18","","Sinanson Biolife"
"PRESTON ANTIMICROBIC SUPPLEMENT","4240017","79,05","","Sinanson Biolife"
"PRESTON ANTIMICROBIC SUPPLEMENT II (ISO 10272-1)","4240022","226,95","","Sinanson Biolife"
"RPF SUPPLEMENT","423101","45,90","","Sinanson Biolife"
"RPF SUPPLEMENT II (ISO 6888-2)","423102","72,68","","Sinanson Biolife"
"RPF SUPPLEMENT II (ISO 6888-2)","423102D","107,10","","Sinanson Biolife"
"ROSOLIC ACID","4211901","155,55","","Sinanson Biolife"
"SALMONELLA SELECTIVE SUPPLEMENT","4240013","54,83","","Sinanson Biolife"
"SENECA EE-EC SUPPLEMENT","4240023","65,54","","Sinanson Biolife"
"STREPTO B SUPPLEMENT","4240053","302,43","","Sinanson Biolife"
"SKIRROW ANTIMICROBIC SUPPLEMENT","4240016","62,48","","Sinanson Biolife"
"SODIUM BISELENITE","4123651","91,29","","Sinanson Biolife"
"STAA SELECTIVE SUPPLEMENT","4240052","69,11","","Sinanson Biolife"
"SULPHAMETAZINE SUPPLEMENT","423050","22,95","","Sinanson Biolife"
"TICARCILLIN IRGASAN ANTIMICROBIC SUPPLEMENT","4240060","58,65","","Sinanson Biolife"
"TTC 0.05% SOLUTION","421510","31,62","","Sinanson Biolife"
"TTC 1% SOLUTION","42111801","25,25","","Sinanson Biolife"
"TTC 0.0125g/5mL SOLUTION","421510N","29,07","","Sinanson Biolife"
"TWEEN 20","42120501","26,78","","Sinanson Biolife"
"TWEEN 80","42120502","27,03","","Sinanson Biolife"
"UREA 40% SOLUTION","42211601","42,08","","Sinanson Biolife"
"UREA 40% SOLUTION","4240096","49,73","","Sinanson Biolife"
"VANCOMICIN ANTIMICROBIC SUPPLEMENT","4240057","105,83","","Sinanson Biolife"
"VANCOMYCIN CSB SUPPLEMENT (ISO 22964)","4240057C","54,57","","Sinanson Biolife"
"VCN ANTIMICROBIC SUPPLEMENT","4240007","57,63","","Sinanson Biolife"
"VCNT ANTIMICROBIC SUPPLEMENT","4240008","64,26","","Sinanson Biolife"
"XLT4 SUPPLEMENT","4240097","70,13","","Sinanson Biolife"
"YERSINIA SELECTIVE SUPPLEMENT","4240011","67,07","","Sinanson Biolife"
"ALOA-AGAR LISTERIA ACC. TO OTTAVIANI & AGOSTI","541605","36,98","","Sinanson Biolife"
"BACILLUS CEREUS SELECTIVE AGAR (MYP)","541112M","21,42","","Sinanson Biolife"
"BACILLUS CEREUS SELECTIVE AGAR (PEMBA)","541112","21,42","","Sinanson Biolife"
"BAIRD PARKER AGAR","541116","21,17","","Sinanson Biolife"
"BAIRD PARKER RPF AGAR","543101","44,63","","Sinanson Biolife"
"BCSA BURKHOLDERIA CEPACIA SELECTIVE AGAR","541153","27,54","","Sinanson Biolife"
"BILE AESCULIN AZIDE AGAR ISO FORMULATION","541018","25,50","","Sinanson Biolife"
"BLOOD AGAR HORSE","541180","24,23","","Sinanson Biolife"
"BLOOD AGAR SHEEP","541151","25,50","","Sinanson Biolife"
"BLOOD AGAR SHEEP N°2","541156","25,50","","Sinanson Biolife"
"BLOOD AGAR SHEEP ISO FORMULATION","541156P","25,50","","Sinanson Biolife"
"BORDETELLA SELECTIVE AGAR","549905","45,90","","Sinanson Biolife"
"BRAIN HEART INFUSION AGAR","541235","19,38","","Sinanson Biolife"
"BRILLIANT GREEN AGAR MODIFIED","541256","18,36","","Sinanson Biolife"
"CAMPYLOBACTER AGAR BLASER WANG","541111","24,23","","Sinanson Biolife"
"CAMPYLOBACTER BLOOD FREE AGAR (CCDA BOLTON)","541113","20,66","","Sinanson Biolife"
"CAMPYLOBACTER BLOOD FREE AGAR (KARMALI)","541283","22,19","","Sinanson Biolife"
"CHOCOLATE AGAR BACITRACINE","541519","33,15","","Sinanson Biolife"
"CHOCOLATE AGAR ENRICHED","541521","25,50","","Sinanson Biolife"
"CHROMALBICANS AGAR","548000","26,01","","Sinanson Biolife"
"CHROMART CRE","548015","54,57","","Sinanson Biolife"
"CHROMART ESBL","548020","39,53","","Sinanson Biolife"
"CHROMOGENIC CANDIDA AGAR","548005","32,90","","Sinanson Biolife"
"CHROMOGENIC CRONOBACTER ISOLATION (CCI) AGAR","548030","31,88","","Sinanson Biolife"
"CHROMOGENIC SALMONELLA AGAR","545350","30,60","","Sinanson Biolife"
"CHROMOGENIC STREPTO B AGAR","548010","35,70","","Sinanson Biolife"
"CHROMOGENIC URINE AGAR IV","549810G","28,05","","Sinanson Biolife"
"CLED AGAR","541901","18,62","","Sinanson Biolife"
"COLUMBIA BLOOD AGAR","541136","22,95","","Sinanson Biolife"
"COLUMBIA CNA BLOOD AGAR","541361","24,99","","Sinanson Biolife"
"COLUMBIA CNA-CV BLOOD AGAR","541363","24,99","","Sinanson Biolife"
"DERMATOPHYTE SELECTIVE MEDIUM (DTM)","541369","28,05","","Sinanson Biolife"
"DG 18 AGAR","541394","20,66","","Sinanson Biolife"
"DOUBLE MODIFIED LYSINE IRON AGAR (DMLIA)","541325","27,80","","Sinanson Biolife"
"DRBC AGAR","541393","19,64","","Sinanson Biolife"
"ENTEROBACTER SAKAZAKII ISOLATION AGAR (ESIA)","541478","25,50","","Sinanson Biolife"
"GARDNERELLA SELECTIVE AGAR","549993","22,95","","Sinanson Biolife"
"HAEMOPHILUS TEST MEDIUM","549901","30,09","","Sinanson Biolife"
"HEKTOEN ENTERIC AGAR","541541","22,44","","Sinanson Biolife"
"LEGIONELLA AGAR","549945","20,66","","Sinanson Biolife"
"LEGIONELLA SELECTIVE AGAR (GVPC)","549995","20,66","","Sinanson Biolife"
"LEGIONELLA AGAR BASE W/O CYSTEINE","549943","21,68","","Sinanson Biolife"
"LEGIONELLA SELECTIVE AGAR MWY ISO","549948","38,25","","Sinanson Biolife"
"LEGIONELLA SELECTIVE AGAR AB","549947","21,68","","Sinanson Biolife"
"LES ENDO AGAR MEDIUM","541593","20,40","","Sinanson Biolife"
"LEVINE EMB BLUE AGAR","541595","18,87","","Sinanson Biolife"
"LISTERIA MOX-COL AGAR","541600M","29,33","","Sinanson Biolife"
"LISTERIA SELECTIVE AGAR (OXFORD)","541600","24,48","","Sinanson Biolife"
"LISTERIA SELECTIVE AGAR (PALCAM)","541604","23,46","","Sinanson Biolife"
"MAC CONKEY AGAR","541670","18,87","","Sinanson Biolife"
"MAC CONKEY AGAR MUG","541672","21,68","","Sinanson Biolife"
"MAC CONKEY SORBITOL AGAR","541669S","18,87","","Sinanson Biolife"
"MANNITOL SALT AGAR","541665","18,11","","Sinanson Biolife"
"MODIFIED THAYER MARTIN AGAR","541522","25,50","","Sinanson Biolife"
"MRS AGAR WITH TWEEN 80","541728","25,50","","Sinanson Biolife"
"MUELLER HINTON AGAR II","541740","19,64","","Sinanson Biolife"
"MUELLER HINTON AGAR BLOOD SHEEP","541743","25,50","","Sinanson Biolife"
"MUELLER HINTON AGAR F (MHA-F)","541740F","24,74","","Sinanson Biolife"
"NUTRIENT AGAR","541810","18,36","","Sinanson Biolife"
"NUTRIENT AGAR W/NaCl","541811","18,36","","Sinanson Biolife"
"OXACILLIN-SALT SCREEN AGAR","549510","19,89","","Sinanson Biolife"
"PLATE COUNT AGAR","542145","18,11","","Sinanson Biolife"
"PSEUDOMONAS SELECTIVE AGAR","541963","18,36","","Sinanson Biolife"
"PSEUDOMONAS CFC AGAR","541959","23,72","","Sinanson Biolife"
"PSEUDOMONAS CN SELECTIVE AGAR","541960","19,13","","Sinanson Biolife"
"PSEUDOMONAS AGAR F","541961","18,87","","Sinanson Biolife"
"ROGOSA BIOS AGAR","541985","25,50","","Sinanson Biolife"
"ROSE BENGAL CAF AGAR","541991C","22,19","","Sinanson Biolife"
"RPMI AGAR 90 mm","54RPM190","58,65","","Sinanson Biolife"
"SABOURAUD DEXTROSE AGAR","542005","18,62","","Sinanson Biolife"
"SABOURAUD DEXTROSE AGAR + CAF","542006","17,85","","Sinanson Biolife"
"SABOURAUD DEXTROSE AGAR +CAF+CYCLOHEXIMIDE","542008","21,93","","Sinanson Biolife"
"SABOURAUD DEXTROSE AGAR + CAF + GENTAMICIN","542009","22,95","","Sinanson Biolife"
"SCHAEDLER BLOOD AGAR","549989","35,70","","Sinanson Biolife"
"SCHAEDLER SELECTIVE BLOOD AGAR","549990","35,70","","Sinanson Biolife"
"SCHAEDLER SELECTIVE CNA BLOOD AGAR","549907","35,70","","Sinanson Biolife"
"SERUM TELLURITE AGAR","549998","25,50","","Sinanson Biolife"
"SLANETZ BARTLEY AGAR","542046","20,66","","Sinanson Biolife"
"SS AGAR","542075","21,42","","Sinanson Biolife"
"STRONGYLOIDES STERCORALIS AGAR","546550","18,87","","Sinanson Biolife"
"SUGAR FREE AGAR","542098","18,36","","Sinanson Biolife"
"SUPPLEMENTED BRUCELLA AGAR","549850","26,78","","Sinanson Biolife"
"TCBS KOBAYASHI AGAR","542106","22,70","","Sinanson Biolife"
"TBX (TRYPTONE BILE X-GLUC AGAR)","542156","22,44","","Sinanson Biolife"
"TRYPTIC SOY AGAR","542150","18,87","","Sinanson Biolife"
"TRYPTIC SOY YEAST EXTRACT AGAR (TSYEA)","542166","18,87","","Sinanson Biolife"
"TSC AGAR","542158","19,38","","Sinanson Biolife"
"UREAPLASMA DIFFERENTIAL AGAR A7","542181","40,80","","Sinanson Biolife"
"VANCOMYCIN SCREEN AGAR","549520","18,87","","Sinanson Biolife"
"VIOLET RED BILE AGAR","542185","18,36","","Sinanson Biolife"
"VIOLET RED BILE GLUCOSE AGAR","542188","20,40","","Sinanson Biolife"
"VIOLET RED BILE GLUCOSE AGAR EP","542189","18,36","","Sinanson Biolife"
"WURTZ AGAR","542200","18,36","","Sinanson Biolife"
"XLD AGAR","542206","20,40","","Sinanson Biolife"
"XLD AGAR ISO FORMULATION","542208","20,40","","Sinanson Biolife"
"YERSINIA SELECTIVE AGAR","549997","20,40","","Sinanson Biolife"
"ALOA - AGAR LISTERIA ACC. TO OTTAVIANI & AGOSTI - 150 mm","501605P","22,19","","Sinanson Biolife"
"BAIRD PARKER AGAR 150 mm","501116P","20,40","","Sinanson Biolife"
"MUELLER HINTON AGAR II 150 mm","501740P","18,87","","Sinanson Biolife"
"RPMI AGAR 150 mm","54RPMI15","38,25","","Sinanson Biolife"
"XLD AGAR ISO FORMULATION 150 mm","502208P","20,40","","Sinanson Biolife"
"AZIDE MALTOSE AGAR KF","491107","38,25","","Sinanson Biolife"
"BAIRD PARKER AGAR","491116","33,92","","Sinanson Biolife"
"BILE ESCULIN AZIDE AGAR ISO FORMULATION","491018","36,72","","Sinanson Biolife"
"CHROMOGENIC COLIFORM AGAR ISO FORMULATION","491297","39,02","","Sinanson Biolife"
"EC X-GLUC AGAR (CHROMOGENIC E.COLI)","497102","39,27","","Sinanson Biolife"
"C-EC MF PLATE","497101","36,21","","Sinanson Biolife"
"CETRIMIDE AGAR USP-EP","491963","35,70","","Sinanson Biolife"
"m-CP AGAR","491320","40,80","","Sinanson Biolife"
"m-FC AGAR","491487","36,47","","Sinanson Biolife"
"LEGIONELLA SELECTIVE AGAR","499995","42,84","","Sinanson Biolife"
"LES ENDO AGAR","491593","35,45","","Sinanson Biolife"
"M-GREEN AGAR","491527","34,94","","Sinanson Biolife"
"PLATE COUNT AGAR","492145","34,94","","Sinanson Biolife"
"PSEUDOMONAS CN SELECTIVE AGAR","491960","34,68","","Sinanson Biolife"
"SLANETZ BARTLEY AGAR","492046","35,70","","Sinanson Biolife"
"SPS AGAR","492094","34,68","","Sinanson Biolife"
"TBX (TRYPTONE BILE X-GLUC AGAR)","492156","36,72","","Sinanson Biolife"
"TSC AGAR","492158","34,94","","Sinanson Biolife"
"TSC AGAR MUP","492158X","50,49","","Sinanson Biolife"
"TTC TERGITOL AGAR","492160T","35,45","","Sinanson Biolife"
"YEAST EXTRACT AGAR","492275","35,19","","Sinanson Biolife"
"DERMATOPHYTE TEST MEDIUM","491013","51,00","","Sinanson Biolife"
"CHROMOGENIC SALMONELLA AGAR","495350","49,47","","Sinanson Biolife"
"CHROMOGENIC SALMONELLA AGAR","495351","51,00","","Sinanson Biolife"
"MAC CONKEY AGAR","491070","42,33","","Sinanson Biolife"
"BAIRD PARKER AGAR","491071","41,31","","Sinanson Biolife"
"ACETAMIDE BROTH (ISO 16266)","5510101","28,05","","Sinanson Biolife"
"AZIDE DEXTROSE BROTH","551105","28,05","","Sinanson Biolife"
"BILE AESCULIN AZIDE BROTH","5510141","30,60","","Sinanson Biolife"
"BIOTONE AGAR (TRYPTOSE)","551145","30,60","","Sinanson Biolife"
"BIOTONE BROTH (TRYPTOSE)","551146","28,05","","Sinanson Biolife"
"BRAIN HEART INFUSION BROTH","551230","29,33","","Sinanson Biolife"
"BRILLIANT GREEN BILE BROTH 2% (ISO 4831; ISO 4832)","551265","35,19","","Sinanson Biolife"
"BUFFERED PEPTONE WATER (ISO 6579; ISO 6887-1 ISO 11290)","551278","29,33","","Sinanson Biolife"
"CAMPYLOBACTER ENRICHMENT BROTH (ISTISAN 96/35)","551977","33,66","","Sinanson Biolife"
"CRONOBACTER SCREENING BROTH (ISO 22964:2017)","551355","28,05","","Sinanson Biolife"
"EC BROTH (ISO 7251)","551425","33,15","","Sinanson Biolife"
"EP NEUTRALISING DILUENT (EP, USP, JP)","551395N","29,07","","Sinanson Biolife"
"ETHYL VIOLET AZIDE BROTH","551485","28,05","","Sinanson Biolife"
"EUGON LT SUP BROTH","551583","30,60","","Sinanson Biolife"
"FERMENTATION BROTH RHAMNOSE","521488R","94,35","","Sinanson Biolife"
"FERMENTATION BROTH XYLOSE","521488X","94,35","","Sinanson Biolife"
"GLUCOSE OF MEDIUM (ISO 21528)","551525","30,09","","Sinanson Biolife"
"GN BROTH HAJNA (ISTISAN 07/05)","551524","29,33","","Sinanson Biolife"
"IUT MEDIUM","551634","30,60","","Sinanson Biolife"
"KLIGLER IRON AGAR (ISO 6579)","551560","30,60","","Sinanson Biolife"
"LACTOSE BROTH (DPR N°470, APAT CNR-IRSA N 7020, ISTISAN 9635)","551575","33,15","","Sinanson Biolife"
"LISTERIA FRASER BROTH (ISO 11290)","551596","29,84","","Sinanson Biolife"
"LISTERIA FRASER BROTH (ISO 11290)","551596N","30,60","","Sinanson Biolife"
"LOWENSTEIN-JENSEN MEDIUM","551635","30,60","","Sinanson Biolife"
"LYSINE IRON AGAR","551636","30,60","","Sinanson Biolife"
"MAXIMUM RECOVERY DILUENT (ISO 6887)","551691","30,60","","Sinanson Biolife"
"MINERALS MODIFIED GLUTAMATE MEDIUM (ISO 16649)","551737","30,60","","Sinanson Biolife"
"MINERALS MODIFIED GLUTAMATE MEDIUM x 2 (ISO 16649)","551737D","30,60","","Sinanson Biolife"
"MODIFIED LAURYL SULFATE TRYPTOSE (mLST) BROTH (ISO/TS 22964)","5514762","28,82","","Sinanson Biolife"
"MOPS-BUFFERED LYSTERIA ENRICHMENT BROTH (MOPS-BLEB)","551601M","31,88","","Sinanson Biolife"
"MULLER KAUFFMANN TETRATHIONATE BROTH","551743","30,60","","Sinanson Biolife"
"M. K. TETRATHIONATE NOVOBIOCIN BROTH (ISO 6579)","551745","30,60","","Sinanson Biolife"
"NUTRIENT AGAR (ISO 8523/6579/10273)","551810","30,60","","Sinanson Biolife"
"NUTRIENT BROTH","551815","28,05","","Sinanson Biolife"
"PEPTONE TRYPTONE WATER (ISO 7251)","551891","30,60","","Sinanson Biolife"
"PLATE COUNT AGAR","552145B","30,60","","Sinanson Biolife"
"PURIFIED WATER","550000","28,05","","Sinanson Biolife"
"PURPLE GLUCOSE AGAR (ISO 11059)","551970","30,60","","Sinanson Biolife"
"R2A AGAR (EP)","551996Q","30,60","","Sinanson Biolife"
"RAPPAPORT VASSILIADIS BROTH (ISTISAN 96/35)","551980","28,05","","Sinanson Biolife"
"RVS BROTH (ISO 6579)","551981","29,33","","Sinanson Biolife"
"SABOURAUD BROTH (EP, USP, JP)","552000","30,60","","Sinanson Biolife"
"SABOURAUD DEXTROSE AGAR W/CAF 50","552006","30,60","","Sinanson Biolife"
"SABOURAUD DEXTROSE AGAR WITH CAF CEX","552008","40,04","","Sinanson Biolife"
"SALINE SOLUTION 0.85%","554610","29,33","","Sinanson Biolife"
"SELENITE BROTH","552025","30,60","","Sinanson Biolife"
"SELENITE CYSTINE BROTH (ISTISAN 96/35) (ISO 6579-1)","552026","30,60","","Sinanson Biolife"
"SELENITE CYSTINE BROTH (ISTISAN 96/35) (ISO 6579-1)","552026A","27,03","","Sinanson Biolife"
"SIM AGAR ISO (ISO 15213-2)","552037","38,25","","Sinanson Biolife"
"SPS AGAR","552094","30,60","","Sinanson Biolife"
"TBX AGAR (ISO 16649)","5521562S","33,15","","Sinanson Biolife"
"THIOGLYCOLLATE MEDIUM (EP, USP, JP)","552137","31,88","","Sinanson Biolife"
"TODD-HEWITT BROTH","552134","30,09","","Sinanson Biolife"
"TODD-HEWITT CNA BROTH (LIM BROTH)","552134B","30,09","","Sinanson Biolife"
"TRICHOMONAS CPLM SELECTIVE BROTH","5513311","30,60","","Sinanson Biolife"
"TRIPLE SUGAR IRON AGAR USP","552141","30,60","","Sinanson Biolife"
"TRIPLE SUGAR IRON AGAR ISO","552141S","30,60","","Sinanson Biolife"
"TRYPTONE TRYPTOPHAN MEDIUM (ISO 6579, ISO 9308)","552165","30,60","","Sinanson Biolife"
"TRYPTOSE (BIOTONE) BROTH","551146","28,05","","Sinanson Biolife"
"TRYPTIC SOY AGAR (EP, USP, JP)","552150","30,60","","Sinanson Biolife"
"TRYPTIC SOY BROTH (EP, USP, JP)","552155","30,60","","Sinanson Biolife"
"TSC AGAR BASE (ISO 7937, ISO 15213)","552158B","30,60","","Sinanson Biolife"
"UREA AGAR (ISO 6579)","552175","30,60","","Sinanson Biolife"
"UREA BROTH","552180","30,60","","Sinanson Biolife"
"VRBG AGAR","552188","30,60","","Sinanson Biolife"
"YEAST EXTRACT AGAR","552275","30,60","","Sinanson Biolife"
"ALOA FLASKS KIT (ISO 11290)","511605K3","79,56","","Sinanson Biolife"
"BACILLUS CEREUS AGAR BASE - MYP (ISO 7932, ISO 21871)","5111112","28,05","","Sinanson Biolife"
"BAIRD PARKER AGAR BASE (ISO 6888)","5111162","30,60","","Sinanson Biolife"
"BAIRD PARKER AGAR + RPF SUPPLEMENT (ISO 6888-2)","5131022","67,83","","Sinanson Biolife"
"BUFFERED PEPTONE WATER (ISO 6579; ISO 6887-1, ISO 11290)","5112782","25,25","","Sinanson Biolife"
"BUFFERED PEPTONE WATER (ISO 6579; ISO 6887-1, ISO 11290)","5112783","30,60","","Sinanson Biolife"
"C-EC AGAR","5112982","33,15","","Sinanson Biolife"
"CHROMOGENIC COLIFORM AGAR ISO (ISO 9308-1)","5112972","38,25","","Sinanson Biolife"
"CHLORAMPHENICOL GLUCOSE YEAST EXTRACT AGAR","5112892","25,50","","Sinanson Biolife"
"DESOXYCHOLATE AGAR","5113702","13,26","","Sinanson Biolife"
"EC X-GLUC AGAR (CHROMOGENIC E.COLI) (UNICHIM 1185)","5119672","38,25","","Sinanson Biolife"
"EP NEUTRALISING DILUENT (EP, USP, JP)","511395N2","28,05","","Sinanson Biolife"
"EUGON LT SUP BROTH","5115832","33,15","","Sinanson Biolife"
"HEKTOEN ENTERIC AGAR","5115412","33,15","","Sinanson Biolife"
"HEKTOEN ENTERIC AGAR","5115413","45,90","","Sinanson Biolife"
"IRON SULPHITE AGAR (ISO 15213-1)","5115652","28,05","","Sinanson Biolife"
"LEGIONELLA AGAR BASE (BCYE)","5115824","30,60","","Sinanson Biolife"
"LISTERIA FRASER BROTH (ISO 11290)","5115962","31,37","","Sinanson Biolife"
"LISTERIA FRASER BROTH (ISO 11290)","5115964","36,47","","Sinanson Biolife"
"LISTERIA FRASER BROTH (ISO 11290)","5115963","38,25","","Sinanson Biolife"
"LISTERIA FRASER BROTH HALF CONCENTRATION (ISO 11290)","5115942","27,54","","Sinanson Biolife"
"LISTERIA FRASER BROTH HALF CONCENTRATION (ISO 11290)","5115943","35,70","","Sinanson Biolife"
"LISTERIA UVM BROTH","5115983","36,98","","Sinanson Biolife"
"LPT DILUTION BROTH","5116392","25,50","","Sinanson Biolife"
"MAC CONKEY AGAR (EP, USP, JP)","5116702","28,05","","Sinanson Biolife"
"MAC CONKEY AGAR (EP, USP, JP)","5116703","35,70","","Sinanson Biolife"
"MALT AGAR","5116452","28,05","","Sinanson Biolife"
"MAXIMUM RECOVERY DILUENT (ISO 6887)","5116912","26,78","","Sinanson Biolife"
"MAXIMUM RECOVERY DILUENT (ISO 6887)","5116913","28,82","","Sinanson Biolife"
"M. K. TETRATHIONATE NOVOBIOCIN BROTH","5117452","37,74","","Sinanson Biolife"
"NUTRIENT AGAR (ISO 8523/6579/10273)","5118102","28,05","","Sinanson Biolife"
"PLATE COUNT AGAR (ISO 4833)","5121452","26,78","","Sinanson Biolife"
"PLATE COUNT AGAR (ISO 4833)","5121453","32,64","","Sinanson Biolife"
"PHARMACOPOEIA DILUENT","5113952","25,50","","Sinanson Biolife"
"PSEUDOMONAS SELECTIVE AGAR (CETRIMIDE) (EP, USP, JP)","5119632","26,78","","Sinanson Biolife"
"R2A AGAR (EP)","5119963","30,35","","Sinanson Biolife"
"RVS BROTH (ISO 6579)","5119812","26,01","","Sinanson Biolife"
"SABOURAUD BROTH","5120002","24,23","","Sinanson Biolife"
"SABOURAUD DEXTROSE AGAR (EP, USP, JP)","5120052","27,54","","Sinanson Biolife"
"SABOURAUD DEXTROSE AGAR (EP, USP, JP)","5120053","32,64","","Sinanson Biolife"
"SABOURAUD DEXTROSE AGAR W/CAF 50","5120062","26,01","","Sinanson Biolife"
"SELENITE BROTH","5120252","28,05","","Sinanson Biolife"
"SELENITE CYSTINE BROTH (ISTISAN 96/35)","512026A2","25,50","","Sinanson Biolife"
"SELENITE CYSTINE BROTH (ISTISAN 96/35)","5120262","28,05","","Sinanson Biolife"
"SPS AGAR","5120942","26,78","","Sinanson Biolife"
"SPS AGAR","5120943","33,15","","Sinanson Biolife"
"SS AGAR","5120752","30,60","","Sinanson Biolife"
"TBX AGAR (ISO 16649)","5121562","33,15","","Sinanson Biolife"
"TBX AGAR (ISO 16649)","5121563","45,90","","Sinanson Biolife"
"THIOGLYCOLLATE MEDIUM","5121372","26,27","","Sinanson Biolife"
"TRYPTIC SOY AGAR (EP, USP, JP)","5121502","26,78","","Sinanson Biolife"
"TRYPTIC SOY AGAR (EP, USP, JP)","5121503","32,64","","Sinanson Biolife"
"TRYPTIC SOY BROTH (EP, USP, JP)","5121552","24,74","","Sinanson Biolife"
"TRYPTIC SOY BROTH (EP, USP, JP)","5121553","30,60","","Sinanson Biolife"
"TRYPTIC SOY BROTH (EP, USP, JP)","512155A2","24,61","","Sinanson Biolife"
"TSB MODIFIED (ISO 16654)","512155M3","34,17","","Sinanson Biolife"
"TSC AGAR BASE (ISO 7937, ISO 15213)","5121582","26,78","","Sinanson Biolife"
"TSC AGAR BASE (ISO 7937, ISO 15213)","5121583","32,64","","Sinanson Biolife"
"VIOLET RED BILE AGAR (ISO 4832)","5121852","26,78","","Sinanson Biolife"
"VIOLET RED BILE AGAR (ISO 4832)","5121853","33,15","","Sinanson Biolife"
"VIOLET RED BILE GLUCOSE AGAR (ISO 21528)","5121882","26,78","","Sinanson Biolife"
"VIOLET RED BILE GLUCOSE AGAR (ISO 21528)","5121883","33,15","","Sinanson Biolife"
"YERSINIA ITC BROTH (ISO/DIS 10273)","5122652","25,50","","Sinanson Biolife"
"YEAST EXTRACT AGAR (ISO 6222)","5122752","26,78","","Sinanson Biolife"
"YEAST EXTRACT AGAR (ISO 6222)","5122753","31,88","","Sinanson Biolife"
"CHROMART CRE","548015","54,57","","Sinanson Biolife"
